x=1.002938, y=1.002937
x=1.062865, y=1.029326
x=1.092185, y=1.057721
x=1.057722, y=1.092183
x=1.026120, y=1.094110
x=1.086117, y=1.121504
x=1.049613, y=1.155739
x=1.089522, y=1.089521
x=1.054042, y=1.123882
x=1.017478, y=1.157088
x=1.077054, y=1.185955
x=1.038489, y=1.219867
x=1.153655, y=1.081962
x=1.118384, y=1.118382
x=1.081963, y=1.153654
x=1.044431, y=1.187740
x=1.005826, y=1.220605
x=1.064948, y=1.250946
x=1.024306, y=1.284437
x=1.218392, y=1.071383
x=1.183427, y=1.109883
x=1.147245, y=1.147244
x=1.109885, y=1.183425
x=1.071384, y=1.218391
x=1.031782, y=1.252105
x=1.049754, y=1.316348
x=1.007024, y=1.349318
x=1.283605, y=1.057738
x=1.249044, y=1.098336
x=1.213199, y=1.137805
x=1.176107, y=1.176105
x=1.137807, y=1.213197
x=1.098337, y=1.249042
x=1.057739, y=1.283604
x=1.016054, y=1.316847
x=1.031437, y=1.382029
x=1.349163, y=1.040986
x=1.315105, y=1.083694
x=1.279695, y=1.125289
x=1.242970, y=1.165727
x=1.204968, y=1.204967
x=1.165728, y=1.242969
x=1.125290, y=1.279694
x=1.083696, y=1.315103
x=1.040988, y=1.349162
x=1.009962, y=1.447854
x=1.414933, y=1.021094
x=1.381479, y=1.065920
x=1.346604, y=1.109651
x=1.310347, y=1.152242
x=1.272742, y=1.193648
x=1.233830, y=1.233828
x=1.193650, y=1.272741
x=1.152243, y=1.310345
x=1.109653, y=1.346603
x=1.065922, y=1.381477
x=1.021096, y=1.414932
x=1.448031, y=1.044979
x=1.413794, y=1.090854
x=1.378104, y=1.135608
x=1.340998, y=1.179195
x=1.302514, y=1.221570
x=1.262692, y=1.262690
x=1.221572, y=1.302512
x=1.179196, y=1.340996
x=1.135610, y=1.378102
x=1.090856, y=1.413792
x=1.044981, y=1.448030
x=1.481129, y=1.068864
x=1.446109, y=1.115788
x=1.409603, y=1.161564
x=1.371649, y=1.206148
x=1.332286, y=1.249491
x=1.291553, y=1.291551
x=1.249493, y=1.332284
x=1.206150, y=1.371648
x=1.161566, y=1.409602
x=1.115790, y=1.446108
x=1.068866, y=1.481128
x=1.478424, y=1.140722
x=1.441103, y=1.187521
x=1.402301, y=1.233101
x=1.362057, y=1.277413
x=1.320415, y=1.320413
x=1.277415, y=1.362056
x=1.233103, y=1.402299
x=1.187523, y=1.441101
x=1.140723, y=1.478423
x=1.472603, y=1.213478
x=1.432952, y=1.260054
x=1.391829, y=1.305335
x=1.349276, y=1.349274
x=1.305337, y=1.391827
x=1.260056, y=1.432950
x=1.213480, y=1.472601
x=1.463603, y=1.287007
x=1.421601, y=1.333256
x=1.378138, y=1.378136
x=1.333258, y=1.421599
x=1.287009, y=1.463602
x=1.494255, y=1.313960
x=1.451373, y=1.361178
x=1.406999, y=1.406997
x=1.361180, y=1.451371
x=1.313962, y=1.494253
x=1.481144, y=1.389099
x=1.435861, y=1.435859
x=1.389101, y=1.481143
x=1.464722, y=1.464720
x=1.493584, y=1.493582
